iter	Passed	Remaining
0	99	99215
1	115	57844
2	129	43136
3	141	35241
4	153	30523
5	164	27220
6	178	25342
7	191	23749
8	201	22202
9	211	20975
10	222	19966
11	232	19104
12	240	18278
13	248	17474
14	257	16940
15	268	16491
16	277	16038
17	285	15573
18	292	15109
19	299	14687
20	306	14289
21	313	13924
22	322	13689
23	329	13396
24	336	13127
25	343	12856
26	350	12615
27	356	12381
28	363	12177
29	371	12003
30	378	11828
31	385	11646
32	392	11491
33	398	11330
34	405	11179
35	412	11032
36	419	10916
37	426	10787
38	434	10695
39	441	10596
40	449	10506
41	456	10421
42	464	10336
43	471	10239
44	478	10152
45	485	10061
46	492	9985
47	499	9913
48	507	9847
49	520	9881
50	528	9841
51	537	9793
52	546	9759
53	554	9721
54	564	9692
55	572	9647
56	581	9615
57	590	9584
58	599	9553
59	608	9528
60	617	9502
61	625	9468
62	634	9441
63	645	9439
64	658	9473
65	670	9495
66	679	9459
67	686	9406
68	694	9369
69	702	9328
70	713	9334
71	721	9295
72	728	9254
73	736	9213
74	743	9165
75	749	9117
76	756	9067
77	763	9027
78	770	8982
79	777	8939
80	783	8894
81	790	8851
82	797	8805
83	804	8769
84	810	8729
85	817	8690
86	824	8653
87	831	8618
88	837	8577
89	845	8544
90	852	8512
91	858	8476
92	865	8441
93	872	8411
94	879	8376
95	885	8342
96	892	8310
97	899	8279
98	907	8256
99	914	8231
100	922	8212
101	930	8190
102	937	8161
103	944	8139
104	952	8118
105	961	8105
106	968	8084
107	976	8065
108	984	8046
109	992	8032
110	1000	8010
111	1008	7994
112	1016	7982
113	1025	7969
114	1036	7973
115	1045	7964
116	1053	7949
117	1062	7940
118	1069	7916
119	1077	7901
120	1085	7882
121	1092	7865
122	1101	7850
123	1109	7837
124	1118	7827
125	1127	7822
126	1136	7814
127	1144	7795
128	1151	7776
129	1159	7758
130	1166	7737
131	1173	7718
132	1180	7696
133	1187	7673
134	1194	7651
135	1200	7628
136	1207	7606
137	1214	7585
138	1220	7561
139	1228	7544
140	1235	7525
141	1242	7505
142	1248	7484
143	1256	7466
144	1263	7447
145	1269	7427
146	1276	7408
147	1283	7388
148	1291	7373
149	1297	7353
150	1304	7336
151	1312	7322
152	1319	7306
153	1326	7287
154	1334	7276
155	1343	7270
156	1353	7265
157	1360	7251
158	1370	7248
159	1380	7249
160	1390	7244
161	1399	7240
162	1410	7243
163	1419	7237
164	1429	7232
165	1439	7230
166	1446	7217
167	1454	7205
168	1465	7207
169	1477	7214
170	1488	7216
171	1499	7218
172	1509	7217
173	1519	7212
174	1529	7210
175	1540	7213
176	1550	7207
177	1559	7200
178	1568	7194
179	1576	7183
180	1586	7177
181	1595	7173
182	1605	7168
183	1615	7165
184	1625	7162
185	1637	7164
186	1648	7166
187	1658	7165
188	1668	7161
189	1678	7157
190	1688	7152
191	1698	7148
192	1707	7139
193	1716	7130
194	1724	7119
195	1733	7110
196	1743	7107
197	1752	7097
198	1760	7087
199	1768	7075
200	1777	7064
201	1785	7053
202	1793	7040
203	1800	7027
204	1808	7014
205	1816	7001
206	1824	6988
207	1832	6977
208	1840	6966
209	1848	6954
210	1857	6946
211	1865	6935
212	1874	6924
213	1883	6917
214	1891	6907
215	1900	6899
216	1909	6890
217	1918	6883
218	1927	6875
219	1937	6869
220	1947	6865
221	1957	6859
222	1965	6848
223	1974	6841
224	1984	6836
225	1995	6833
226	2005	6829
227	2014	6821
228	2023	6813
229	2033	6809
230	2042	6798
231	2050	6788
232	2059	6779
233	2067	6768
234	2074	6754
235	2082	6740
236	2089	6727
237	2097	6713
238	2106	6708
239	2114	6696
240	2122	6684
241	2130	6674
242	2138	6660
243	2145	6648
244	2154	6638
245	2162	6629
